"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"239963_at",-3.02284860310421,3.87081923076923,-17.1241530941442,3.17834486147916e-23,6.32977973646446e-21,42.666935577939
"242731_x_at",-1.36257567627494,3.44569057692308,-17.1188852011276,3.22259405944615e-23,6.37540081707515e-21,42.6531878227981
"233208_x_at",3.3730166518847,6.25951480769231,17.0639776626329,3.72279296428955e-23,7.31651277777774e-21,42.509710231848
"201971_s_at",5.2405422172949,7.34063961538462,17.0467685103881,3.89527277502689e-23,7.60545644499204e-21,42.4646721996472
"203554_x_at",4.7384820399113,9.48419538461538,17.0179950331359,4.20199158017931e-23,8.15104509575951e-21,42.3892952894711
"238577_s_at",-4.61345729490022,3.58031,-16.8988590477749,5.75655743203879e-23,1.1094557430148e-20,42.076211484738
"218663_at",4.04240434589801,7.43444307692308,16.8837657202555,5.99142460768641e-23,1.14731940580395e-20,42.0364330861817
"206262_at",-3.40402742793792,3.38409711538462,-16.8774009064421,6.09336300454993e-23,1.1594078537256e-20,42.0196509538546
"219148_at",5.90102711751663,7.87214019230769,16.8744720136542,6.14086195992608e-23,1.16105043879033e-20,42.0119267954898
"218260_at",3.99456436807095,6.86711673076923,16.8181043342185,7.13196828303818e-23,1.33995778942893e-20,41.8630837890242
"222155_s_at",5.50400476718404,5.79373788461538,16.7660355319144,8.1915818041546e-23,1.52941952022194e-20,41.7252731028337
"230418_s_at",-6.16529549889135,3.34746980769231,-16.7331740323598,8.9413099010585e-23,1.65902950729392e-20,41.6381402881722
"203622_s_at",3.5328611751663,8.92096788461538,16.7121163652324,9.45801561875101e-23,1.74406975666018e-20,41.5822410676259
"226755_at",-4.54696033259424,3.00675211538462,-16.7033577694721,9.68176594752776e-23,1.77437665123004e-20,41.5589758484161
"213350_at",-3.00243124168514,8.36951480769231,-16.6599143895827,1.08736721090161e-22,1.98066589580876e-20,41.4434493174773
"222981_s_at",3.38217572062084,9.83179365384615,16.6197027337362,1.21095386815088e-22,2.19241363050129e-20,41.3363249762745
"212134_at",-2.68945013303769,7.03674019230769,-16.4713194044883,1.80432915004428e-22,3.24703160838992e-20,40.9394283813217
"222717_at",-5.19445241685144,3.81416769230769,-16.452367213605,1.89894634537443e-22,3.39683977098027e-20,40.8885527983114
"201688_s_at",6.21284006651885,9.11706634615385,16.4264575586407,2.03650933646597e-22,3.62122877430047e-20,40.8189334984358
"222393_s_at",4.59375381374723,8.63235365384615,16.4205897867438,2.06904375648002e-22,3.65731030398388e-20,40.8031560280265
"203418_at",5.18490835920177,6.16981173076923,16.4037045135447,2.16564116712636e-22,3.79306365603842e-20,40.7577321376537
"204033_at",5.72978702882484,7.69237942307692,16.4023026948326,2.17386373391071e-22,3.79306365603842e-20,40.7539595569516
"1555758_a_at",5.71243301552107,6.94228826923077,16.4005929925319,2.18393515495132e-22,3.79306365603842e-20,40.749358091271
"223038_s_at",4.35507190687362,8.50346942307692,16.3970239012534,2.20511271252504e-22,3.80770705556418e-20,40.7397512070799
"201912_s_at",3.62156498891353,8.63496288461539,16.3525156040967,2.4874094832599e-22,4.27048180996683e-20,40.6198249774481
